source=S&T 1994|units=billions_dollars|description=Book Table 6.1,source=S&T 1994|units=see_registry|description=T603 subseries
year,T603-A,T603-COMBINED
1952,4.1925,4.1925
1953,4.548,4.548
1954,4.8365,4.8365
1955,5.224,5.224
1956,5.7265,5.7265
1957,6.3045,6.3045
1958,6.882,6.882
1959,7.406,7.406
1960,8.119,8.119
1961,8.79,8.79
1962,9.479,9.479
1963,10.1225,10.1225
1964,10.8435,10.8435
1965,11.5935,11.5935
1966,12.2675,12.2675
1967,13.482,13.482
1968,14.948,14.948
1969,16.3815,16.3815
1970,18.337,18.337
1971,20.2225,20.2225
1972,21.6135,21.6135
1973,23.1775,23.1775
1974,24.49,24.49
1975,26.692,26.692
1976,29.1235,29.1235
1977,31.6,31.6
1978,31.874,31.874
1979,32.2015,32.2015
1980,34.413,34.413
1981,38.54,38.54
1982,42.65,42.65
1983,45.9385,45.9385
1984,49.85,49.85
1985,53.7455,53.7455
1986,58.079,58.079
1987,63.211,63.211
1988,68.248,68.248
1989,74.9315,74.9315
