source=S&T 1994|units=billions_dollars|description=Book Table 6.1,source=S&T 1994|units=see_registry|description=T602 subseries
year,T602-A,T602-COMBINED
1952,6.923,6.923
1953,7.106,7.106
1954,8.074,8.074
1955,9.091,9.091
1956,9.987,9.987
1957,11.413,11.413
1958,11.384,11.384
1959,13.834,13.834
1960,16.444,16.444
1961,17.005,17.005
1962,19.117,19.117
1963,21.669,21.669
1964,22.387,22.387
1965,23.416,23.416
1966,31.336,31.336
1967,34.867,34.867
1968,38.695,38.695
1969,44.127,44.127
1970,46.359,46.359
1971,51.176,51.176
1972,59.204,59.204
1973,75.496,75.496
1974,85.181,85.181
1975,89.31,89.31
1976,101.334,101.334
1977,113.094,113.094
1978,131.26,131.26
1979,152.749,152.749
1980,166.188,166.188
1981,195.701,195.701
1982,208.894,208.894
1983,225.953,225.953
1984,257.47,257.47
1985,281.37,281.37
1986,303.438,303.438
1987,323.113,323.113
1988,361.482,361.482
1989,385.231,385.231
