source=S&T 1994|units=billions_dollars|description=Book Table E.2,source=S&T 1994|units=see_registry|description=T508 subseries
year,T508-A,T508-COMBINED
1929,,53.31675522803797
1930,,46.995601991430235
1931,,39.46437319573326
1932,,30.35234615596691
1933,,29.14482027146488
1934,,34.06365248510785
1935,,37.85807820579179
1936,,43.25777904658232
1937,,47.42547712683361
1938,,44.54383490837037
1939,,47.646788881003324
1940,,52.47179306983701
1941,,65.93917423947322
1942,,84.62471941929068
1943,,103.55962277373716
1944,,114.45336241504494
1945,,116.2687307211375
1946,,116.02804144010501
1947,,127.28791435213594
1948,158.46,158.46
1949,160.16,160.16
1950,171.79,171.79
1951,185.65,185.65
1952,194.14,194.14
1953,204.41,204.41
1954,209.09,209.09
1955,224.27,224.27
1956,234.18,234.18
1957,246.03,246.03
1958,251.64,251.64
1959,269.19,269.19
1960,279.74,279.74
1961,286.69,286.69
1962,,307.960915211247
1963,,325.05801312323354
1964,,349.03005359216945
1965,,378.5190799329075
1966,,414.78820093595084
1967,,438.52312166827636
1968,,479.6707900264848
1969,,518.9174210124704
1970,,547.3146766949658
1971,,593.9976885820042
1972,,652.2628522488967
1973,,726.8489928834294
1974,,787.9733616324178
1975,,859.1913821372478
1976,,955.3181935543543
1977,,1061.5957694380559
1978,,1199.1624419210648
1979,,1339.768836446944
1980,,1457.0406091506895
1981,,1635.382187567257
1982,,1705.1147676575793
1983,,1853.1228675101252
1984,,2058.919851816673
1985,,2212.596898146419
1986,,2335.313755898607
1987,,2475.84366018687
1988,,2670.24257921876
1989,,2876.8386315409393
1990,,3040.815343333173
1991,,3140.24500321055
1992,,3324.942410438111
1993,,3497.4187174342637
1994,,3716.0160880384337
1995,,3895.774775590572
1996,,4116.766800567048
1997,,4373.9932709721825
1998,,4621.446838684546
1999,,4911.270898687143
2000,,5227.318361819181
2001,,5396.095090989294
2002,,5573.133785691798
2003,,5842.043884925357
2004,,6229.974833629486
2005,,6649.141845701509
2006,,7045.048176514428
2007,,7380.914260212839
2008,,7531.668359595808
2009,,7382.871900360898
2010,,7673.995784468053
2011,,7954.8480495331805
2012,,8288.466850050425
2013,,8608.049691965087
2014,,8979.004397332665
2015,,9329.26900335996
2016,,9589.281758153995
2017,,10000.895614228872
2018,,10533.478781093863
2019,,10983.988942866443
2020,,10900.002152028872
2021,,12098.534824326896
2022,,13286.157439066254
2023,,14182.06362532439
2024,,14940.079840361857
2025,,15695.279174915378
