source=S&T 1994|units=ratio|description=Book Table 5.7,source=S&T 1994|units=see_registry|description=T510 subseries
year,T510-A,T510-COMBINED
1948,-1.0431,-1.0431
1949,-1.0428,-1.0428
1950,-1.0545,-1.0545
1951,-1.0545,-1.0545
1952,-1.0579,-1.0579
1953,-1.034,-1.034
1954,-1.0422,-1.0422
1955,-1.0255,-1.0255
1956,-1.0637,-1.0637
1957,-1.0913,-1.0913
1958,-1.0808,-1.0808
1959,-1.0577,-1.0577
1960,-1.1058,-1.1058
1961,-1.0694,-1.0694
1962,-1.0817,-1.0817
1963,-1.1205,-1.1205
1964,-1.1046,-1.1046
1965,-1.1084,-1.1084
1966,-1.0989,-1.0989
1967,-1.1479,-1.1479
1968,-1.1247,-1.1247
1969,-1.1585,-1.1585
1970,-1.16,-1.16
1971,-1.0913,-1.0913
1972,-1.1704,-1.1704
1973,-1.151,-1.151
1974,-1.1591,-1.1591
1975,-1.1652,-1.1652
1976,-1.1818,-1.1818
1977,-1.1524,-1.1524
1978,-1.1287,-1.1287
1979,-1.2468,-1.2468
1980,-1.165,-1.165
1981,-1.1843,-1.1843
1982,-1.1596,-1.1596
1983,-1.222,-1.222
1984,-1.2104,-1.2104
1985,-1.2181,-1.2181
1986,-1.2191,-1.2191
1987,-1.2021,-1.2021
1988,-1.252,-1.252
1989,-1.2193,-1.2193
