source=S&T 1994|units=rate|description=Book Table 5.11,source=S&T 1994|units=rate|description=Full series
year,T513-A,T513-COMBINED
1948,1.865,1.865
1949,1.783,1.783
1950,1.924,1.924
1951,2.012,2.012
1952,1.956,1.956
1953,1.984,1.984
1954,1.882,1.882
1955,2.053,2.053
1956,1.987,1.987
1957,1.935,1.935
1958,1.834,1.834
1959,1.958,1.958
1960,1.912,1.912
1961,1.886,1.886
1962,1.984,1.984
1963,2.032,2.032
1964,2.0980000000000003,2.0980000000000003
1965,2.185,2.185
1966,2.2230000000000003,2.2230000000000003
1967,2.136,2.136
1968,2.158,2.158
1969,2.082,2.082
1970,1.943,1.943
1971,1.958,1.958
1972,2.036,2.036
1973,2.064,2.064
1974,1.892,1.892
1975,1.865,1.865
1976,1.953,1.953
1977,1.986,1.986
1978,1.982,1.982
1979,1.884,1.884
1980,1.756,1.756
1981,1.7819999999999998,1.7819999999999998
1982,1.6840000000000002,1.6840000000000002
1983,1.758,1.758
1984,1.886,1.886
1985,1.864,1.864
1986,1.842,1.842
1987,1.868,1.868
1988,1.902,1.902
1989,1.863,1.863
1990,,1.805
1991,,1.724
1992,,1.786
1993,,1.824
1994,,1.885
1995,,1.908
1996,,1.952
1997,,1.986
1998,,2.024
1999,,2.0580000000000003
2000,,1.984
2001,,1.856
2002,,1.824
2003,,1.886
2004,,1.985
2005,,2.028
2006,,2.0540000000000003
2007,,1.986
2008,,1.784
2009,,1.685
2010,,1.826
2011,,1.884
2012,,1.925
2013,,1.958
2014,,1.984
2015,,1.962
2016,,1.924
2017,,1.986
2018,,2.024
2019,,1.958
2020,,1.725
2021,,1.984
2022,,2.056
2023,,1.982
2024,,1.954
