source=S&T 1994|units=thousands|description=Book Table E.3,source=S&T 1994|units=thousands|description=Full series
year,T515-A,T515-COMBINED
1948,17331.95,17331.95
1949,18923.6,18923.6
1950,19851.89,19851.89
1951,21496.78,21496.78
1952,22084.52,22084.52
1953,22734.47,22734.47
1954,23093.6,23093.6
1955,23421.29,23421.29
1956,24032.93,24032.93
1957,25684.62,25684.62
1958,27486.32,27486.32
1959,29627.11,29627.11
1960,30542.16,30542.16
1961,32158.34,32158.34
1962,32403.43,32403.43
1963,32285.48,32285.48
1964,32609.14,32609.14
1965,32649.14,32649.14
1966,33912.18,33912.18
1967,35074.68,35074.68
1968,37122.71,37122.71
1969,38967.6,38967.6
1970,40011.57,40011.57
1971,42631.77,42631.77
1972,42101.76,42101.76
1973,41595.76,41595.76
1974,41612.34,41612.34
1975,41501.44,41501.44
1976,42185.95,42185.95
1977,44192.52,44192.52
1978,46722.95,46722.95
1979,47367.3,47367.3
1980,50889.81,50889.81
1981,51317.34,51317.34
1982,51896.76,51896.76
1983,50542.23,50542.23
1984,50175.85,50175.85
1985,50113.23,50113.23
1986,51222.0,51222.0
1987,53122.09,53122.09
1988,55069.04,55069.04
1989,58123.01,58123.01
1990,,58730.14428366029
1991,,57814.22473776838
1992,,58032.987464829275
1993,,59484.26226412587
1994,,61718.89245132844
1995,,63682.260043613904
1996,,65231.04597835205
1997,,67161.59119498235
1998,,68907.94871133415
1999,,70609.45429202121
2000,,72126.77217242977
2001,,71860.36920109269
2002,,70627.29946713471
2003,,70069.08008311587
2004,,71079.80212179819
2005,,72831.89558729359
2006,,74694.72473764501
2007,,75874.33861222287
2008,,75417.53399570167
2009,,71387.23306270422
2010,,70851.87780929955
2011,,72178.23638280171
2012,,73902.92475794426
2013,,75347.18895273197
2014,,77022.56409843144
2015,,78668.22384092855
2016,,80099.34315226212
2017,,81587.1846273493
2018,,82988.5885354805
2019,,84101.28300338275
2020,,77979.43194793198
2021,,80648.40095084322
2022,,84603.57688325128
2023,,86299.34651479474
2024,,87141.17671758153
