Year,total_product_tp,productive_employment_lp
1929,150.9026527857078,
1930,133.01186427111625,
1931,111.69619344407506,
1932,85.90638221728929,
1933,82.48871626032312,
1934,96.41050925901222,
1935,107.14988948949589,
1936,122.43268713236536,
1937,134.22854180562743,
1938,126.07261683822207,
1939,134.8549214615917,
1940,148.5111525784895,
1941,186.6279422421199,
1942,239.51372503819752,
1943,293.1052674005574,
1944,323.9378678391843,
1945,329.07591294340716,
1946,328.3946889857686,
1947,360.2635580718202,
1948,446.21,17331.95
1949,431.96,18923.6
1950,481.62,19851.89
1951,551.62,21496.78
1952,573.95,22084.52
1953,605.37,22734.47
1954,596.63,23093.6
1955,652.91,23421.29
1956,687.21,24032.93
1957,717.3,25684.62
1958,711.67,27486.32
1959,774.29,29627.11
1960,795.67,30542.16
1961,811.42,32158.34
1962,871.623167256305,32403.43
1963,920.0131605861876,32285.48
1964,987.8613348416691,32609.14
1965,1071.3242590922591,32649.14
1966,1173.9769158444635,33912.18
1967,1241.1539690399832,35074.68
1968,1357.614400374238,37122.71
1969,1468.6943170600257,38967.6
1970,1549.0671978925986,40011.57
1971,1681.1943369814428,42631.77
1972,1846.1024924894477,42101.76
1973,2057.2039827181707,41595.76
1974,2230.204559265326,41612.34
1975,2431.7732439004,41501.44
1976,2703.8413917955777,42185.95
1977,3004.6392941415024,44192.52
1978,3393.9948677093394,46722.95
1979,3791.9537802845557,47367.3
1980,4123.868607475156,50889.81
1981,4628.629581205566,51317.34
1982,4825.994017135976,51896.76
1983,5244.902009679674,50542.23
1984,5827.3701425270665,50175.85
1985,6262.322979852688,50113.23
1986,6609.649055813763,51222.0
1987,7007.391477724475,53122.09
1988,7557.599615018614,55069.04
1989,8142.329353674522,58123.01
1990,8606.433380611124,58730.14428366029
1991,8887.849595399575,57814.22473776838
1992,9410.599500079152,58032.987464829275
1993,9898.759969655412,59484.26226412587
1994,10517.457093571962,61718.89245132844
1995,11026.228917680079,63682.260043613904
1996,11651.703642666695,65231.04597835205
1997,12379.732881970938,67161.59119498235
1998,12888.608002164994,68907.94871133415
1999,13626.109949196238,70609.45429202121
2000,14612.177820322268,72126.77217242977
2001,14635.90901583132,71860.36920109269
2002,14643.49321233421,70627.29946713471
2003,15305.887148836811,70069.08008311587
2004,16482.416212785472,71079.80212179819
2005,17880.599535818666,72831.89558729359
2006,18952.66240922749,74694.72473764501
2007,19885.885556333367,75874.33861222287
2008,20504.97617731945,75417.53399570167
2009,18204.15114469205,71387.23306270422
2010,19642.33498799049,70851.87780929955
2011,21186.575256579377,72178.23638280171
2012,22092.27510992476,73902.92475794426
2013,23004.458228022617,75347.18895273197
2014,24047.774550170478,77022.56409843144
2015,23987.467955397482,78668.22384092855
2016,24247.41017424661,80099.34315226212
2017,25427.119707696485,81587.1846273493
2018,27017.599109803003,82988.5885354805
2019,27579.8082570174,84101.28300338275
2020,26007.800043167917,77979.43194793198
2021,30536.299309894835,80648.40095084322
2022,34678.616183724494,84603.57688325128
2023,35546.51738030546,86299.34651479474
2024,36793.99537928117,87141.17671758153
2025,44422.419436010445,
