Year,total_product_tp,variable_capital_v,surplus_value_s
1929,150.9026527857078,,
1930,133.01186427111625,,
1931,111.69619344407506,,
1932,85.90638221728929,,
1933,82.48871626032312,,
1934,96.41050925901222,,
1935,107.14988948949589,,
1936,122.43268713236536,,
1937,134.22854180562743,,
1938,126.07261683822207,,
1939,134.8549214615917,,
1940,148.5111525784895,,
1941,186.6279422421199,,
1942,239.51372503819752,,
1943,293.1052674005574,,
1944,323.9378678391843,,
1945,329.07591294340716,,
1946,328.3946889857686,,
1947,360.2635580718202,,
1948,446.21,1294.16236,1673.13603
1949,431.96,1488.86644,1930.38074
1950,481.62,1599.6856,2109.77521
1951,551.62,1862.80472,2530.99844
1952,573.95,1972.74317,2702.33027
1953,605.37,2116.58773,2956.86756
1954,596.63,2240.89618,3175.84351
1955,652.91,2306.07748,3296.17155
1956,687.21,2460.52156,3585.52063
1957,717.3,2777.26247,4145.32363
1958,711.67,3040.59794,4611.54189
1959,774.29,3331.70769,5143.686360000001
1960,795.67,3576.3957400000004,5621.6113
1961,811.42,3856.08869,6129.09932
1962,871.623167256305,3980.04051,6401.61038
1963,920.0131605861876,4158.69633,6787.85833
1964,987.8613348416691,4255.8359900000005,7045.30407
1965,1071.3242590922591,4340.02101,7276.15299
1966,1173.9769158444635,4616.35834,7855.28479
1967,1241.1539690399832,4941.1377,8509.25535
1968,1357.614400374238,5297.84569,9244.01192
1969,1468.6943170600257,5715.81701,10170.23296
1970,1549.0671978925986,5924.1948,10663.56866
1971,1681.1943369814428,6336.47892,11597.1378
1972,1846.1024924894477,6608.28973,12203.34496
1973,2057.2039827181707,6513.13615,12333.98611
1974,2230.204559265326,6628.79566,12638.20793
1975,2431.7732439004,6696.94736,12931.95134
1976,2703.8413917955777,6958.99812,13670.18433
1977,3004.6392941415024,7265.1195,14541.3208
1978,3393.9948677093394,7699.16837,15553.98696
1979,3791.9537802845557,8263.00578,16931.82968
1980,4123.868607475156,8800.67826,18290.05961
1981,4628.629581205566,8942.61819,18971.3117
1982,4825.994017135976,9059.64986,19526.42745
1983,5244.902009679674,9107.78587,19932.48204
1984,5827.3701425270665,9118.89264,20373.13013
1985,6262.322979852688,9209.50889,20810.84108
1986,6609.649055813763,9542.64297,22098.3084
1987,7007.391477724475,9837.25276,23144.98657
1988,7557.599615018614,10433.78141,24850.63404
1989,8142.329353674522,11006.99557,26804.8101
1990,8606.433380611124,8922.387224806178,-4002.182747965715
1991,8887.849595399575,7232.581614401841,-2151.4945444331997
1992,9410.599500079152,5862.807283632534,-482.86977149736686
1993,9898.759969655412,4752.453698769276,906.5598512094684
1994,10517.457093571962,3852.389319021218,2160.326656141044
1995,11026.228917680079,3122.787596889593,3180.7877036125333
1996,11651.703642666695,2531.364711021764,4129.7876955743595
1997,12379.732881970938,2051.9510537920364,5025.407760741349
1998,12888.608002164994,1663.333264,5814.418870811076
1999,13626.109949196238,1750.468968,6196.234246213931
2000,14612.177820322268,1871.08672,6586.998464975694
2001,14635.90901583132,1920.194664,6810.980440845351
2002,14643.49321233421,1938.69634,7078.93699393809
2003,15305.887148836811,1995.032284,7457.712204259705
2004,16482.416212785472,2096.4802560000003,7983.957589142998
2005,17880.599535818666,2190.49317,8568.179680061101
2006,18952.66240922749,2303.740208,9095.530600613878
2007,19885.885556333367,2410.81335,9531.90703448335
2008,20504.97617731945,2449.275104,9737.373605928158
2009,18204.15114469205,2343.223738,9602.664214629716
2010,19642.33498799049,2377.6106999999997,10039.33151807193
2011,21186.575256579377,2451.4001499999995,10419.97629569902
2012,22092.27510992476,2535.9394479999996,10875.250347254077
2013,23004.458228022617,2597.501466,11330.790735014214
2014,24047.774550170478,2701.060736,11827.456337614973
2015,23987.467955397482,2812.83151,12282.432731091836
2016,24247.41017424661,2870.2391039999998,12645.739904589333
2017,25427.119707696485,2981.3703919999994,13200.622204632211
2018,27017.599109803003,3111.902736,13931.838367539785
2019,27579.8082570174,3227.944302,14544.746725998484
2020,26007.800043167917,3247.4786400000007,14389.317196210377
2021,30536.299309894835,3491.227972,16084.858861544108
2022,34678.616183724494,3696.9286750000006,17800.796089847237
2023,35546.51738030546,3878.6182890000005,19068.731372709433
2024,36793.99537928117,4057.30593,20116.555161586937
2025,44422.419436010445,,
