Year,variable_capital_v,net_social_wage_nsw
1948,1294.16236,
1949,1488.86644,
1950,1599.6856,
1951,1862.80472,
1952,1972.74317,-9.5194
1953,2116.58773,-9.2491
1954,2240.89618,-6.8436
1955,2306.07748,-9.8369
1956,2460.52156,-13.5444
1957,2777.26247,-13.0864
1958,3040.59794,-7.0645
1959,3331.70769,-13.5535
1960,3576.3957400000004,-19.0405
1961,3856.08869,-16.0051
1962,3980.04051,-19.4895
1963,4158.69633,-22.5453
1964,4255.8359900000005,-20.5788
1965,4340.02101,-21.544
1966,4616.35834,-26.599
1967,4941.1377,-21.9719
1968,5297.84569,-26.3708
1969,5715.81701,-37.3993
1970,5924.1948,-23.682
1971,6336.47892,-11.5875
1972,6608.28973,-22.4084
1973,6513.13615,-30.1636
1974,6628.79566,-23.6723
1975,6696.94736,19.6533
1976,6958.99812,4.9282
1977,7265.1195,-9.1933
1978,7699.16837,-27.1441
1979,8263.00578,-39.7815
1980,8800.67826,-18.4632
1981,8942.61819,-41.9803
1982,9059.64986,-6.5258
1983,9107.78587,8.9919
1984,9118.89264,-28.4526
1985,9209.50889,-42.7725
1986,9542.64297,-41.3038
1987,9837.25276,-76.6251
1988,10433.78141,-94.2922
1989,11006.99557,-101.0163
1990,8922.387224806178,-74.7038
1991,7232.581614401841,-11.1499
1992,5862.807283632534,35.0773
1993,4752.453698769276,38.6308
1994,3852.389319021218,4.2275
1995,3122.787596889593,6.0421000000000005
1996,2531.364711021764,-31.0235
1997,2051.9510537920364,-95.5714
1998,1663.333264,-169.4546
1999,1750.468968,-207.8886
2000,1871.08672,-261.4047
2001,1920.194664,-145.1438
2002,1938.69634,92.9103
2003,1995.032284,176.8911
2004,2096.4802560000003,185.1368
2005,2190.49317,118.2112
2006,2303.740208,94.2558
2007,2410.81335,104.1233
2008,2449.275104,362.7016
2009,2343.223738,845.8259
2010,2377.6106999999997,957.9389
2011,2451.4001499999995,897.133
2012,2535.9394479999996,823.6114
2013,2597.501466,604.8994
2014,2701.060736,582.0185
2015,2812.83151,564.5075
2016,2870.2391039999998,596.3379
2017,2981.3703919999994,559.9225
2018,3111.902736,608.5608000000001
2019,3227.944302,651.6087
2020,3247.4786400000007,1812.3714
2021,3491.227972,1804.9585
2022,3696.9286750000006,759.9355
2023,3878.6182890000005,1117.7296
2024,4057.30593,1234.7386
2025,,1311.031
