Year,personal_tax_workers,govt_benefits_workers_bw,net_social_wage_nsw
1952,22.7849,10.994,-9.5194
1953,23.9122,11.674,-9.2491
1954,21.3699,13.747,-6.8436
1955,23.3723,14.754,-9.8369
1956,26.2177,15.593,-13.5444
1957,27.7473,18.132,-13.0864
1958,26.9229,22.226,-7.0645
1959,30.0037,22.917,-13.5535
1960,32.8791,24.428,-19.0405
1961,33.2915,28.089,-16.0051
1962,36.5301,28.843,-19.4895
1963,38.7915,30.341,-22.5453
1964,37.0634,31.317,-20.5788
1965,40.9664,33.913,-21.544
1966,48.0709,37.504,-26.599
1967,52.8026,45.752,-21.9719
1968,63.1653,53.306,-26.3708
1969,76.3172,58.973,-37.3993
1970,74.2717,71.737,-23.682
1971,72.50689999999999,85.412,-11.5875
1972,88.26339999999999,94.808,-22.4084
1973,94.3257,108.628,-30.1636
1974,107.1142,128.556,-23.6723
1975,102.1023,163.134,19.6533
1976,120.4668,177.643,4.9282
1977,139.0352,189.482,-9.1933
1978,162.2527,203.427,-27.1441
1979,190.7355,227.334,-39.7815
1980,209.0304,271.498,-18.4632
1981,238.099,307.809,-41.9803
1982,240.7356,343.079,-6.5258
1983,238.1733,370.499,8.9919
1984,254.6356,380.909,-28.4526
1985,283.1352,403.112,-42.7725
1986,298.2774,428.607,-41.3038
1987,337.7045,447.913,-76.6251
1988,348.48,476.864,-94.2922
1989,385.7297,521.07,-101.0163
1990,,574.674,-74.7038
1991,,650.507,-11.1499
1992,,731.75,35.0773
1993,,778.935,38.6308
1994,,815.708,4.2275
1995,,864.727,6.0421000000000005
1996,,906.325,-31.0235
1997,,935.418,-95.5714
1998,,957.915,-169.4546
1999,,992.202,-207.8886
2000,,1044.876,-261.4047
2001,,1145.83,-145.1438
2002,,1251.022,92.9103
2003,,1320.994,176.8911
2004,,1404.471,185.1368
2005,,1490.917,118.2112
2006,,1593.029,94.2558
2007,,1697.335,104.1233
2008,,1919.349,362.7016
2009,,2107.728,845.8259
2010,,2281.411,957.9389
2011,,2310.139,897.133
2012,,2322.586,823.6114
2013,,2385.91,604.8994
2014,,2498.625,582.0185
2015,,2635.146,564.5075
2016,,2717.282,596.3379
2017,,2807.432,559.9225
2018,,2925.973,608.5608000000001
2019,,3090.76,651.6087
2020,,4187.512,1812.3714
2021,,4566.711,1804.9585
2022,,4012.998,759.9355
2023,,4150.561,1117.7296
2024,,4455.695,1234.7386
2025,,4851.215,1311.031
