Year,productive_labor_share_lpl,productive_employment_lp
1948,0.57,17331.95
1949,0.565,18923.6
1950,0.56,19851.89
1951,0.555,21496.78
1952,0.55,22084.52
1953,0.545,22734.47
1954,0.54,23093.6
1955,0.535,23421.29
1956,0.53,24032.93
1957,0.525,25684.62
1958,0.52,27486.32
1959,0.519,29627.11
1960,0.518,30542.16
1961,0.517,32158.34
1962,0.516,32403.43
1963,0.514,32285.48
1964,0.513,32609.14
1965,0.512,32649.14
1966,0.511,33912.18
1967,0.51,35074.68
1968,0.509,37122.71
1969,0.508,38967.6
1970,0.507,40011.57
1971,0.506,42631.77
1972,0.505,42101.76
1973,0.504,41595.76
1974,0.503,41612.34
1975,0.502,41501.44
1976,0.501,42185.95
1977,0.5,44192.52
1978,0.488,46722.95
1979,0.477,47367.3
1980,0.465,50889.81
1981,0.453,51317.34
1982,0.442,51896.76
1983,0.43,50542.23
1984,0.418,50175.85
1985,0.407,50113.23
1986,0.395,51222.0
1987,0.383,53122.09
1988,0.372,55069.04
1989,0.36,58123.01
1990,0.35,58730.14428366029
1991,0.348,57814.22473776838
1992,0.346,58032.987464829275
1993,0.344,59484.26226412587
1994,0.342,61718.89245132844
1995,0.34,63682.260043613904
1996,0.336,65231.04597835205
1997,0.332,67161.59119498235
1998,0.328,68907.94871133415
1999,0.324,70609.45429202121
2000,0.32,72126.77217242977
2001,0.318,71860.36920109269
2002,0.316,70627.29946713471
2003,0.314,70069.08008311587
2004,0.312,71079.80212179819
2005,0.31,72831.89558729359
2006,0.308,74694.72473764501
2007,0.306,75874.33861222287
2008,0.304,75417.53399570167
2009,0.302,71387.23306270422
2010,0.3,70851.87780929955
2011,0.298,72178.23638280171
2012,0.296,73902.92475794426
2013,0.294,75347.18895273197
2014,0.292,77022.56409843144
2015,0.29,78668.22384092855
2016,0.288,80099.34315226212
2017,0.286,81587.1846273493
2018,0.284,82988.5885354805
2019,0.282,84101.28300338275
2020,0.28,77979.43194793198
2021,0.278,80648.40095084322
2022,0.275,84603.57688325128
2023,0.273,86299.34651479474
2024,0.27,87141.17671758153
