Year,variable_capital_v
1948,1294.16236
1949,1488.86644
1950,1599.6856
1951,1862.80472
1952,1972.74317
1953,2116.58773
1954,2240.89618
1955,2306.07748
1956,2460.52156
1957,2777.26247
1958,3040.59794
1959,3331.70769
1960,3576.3957400000004
1961,3856.08869
1962,3980.04051
1963,4158.69633
1964,4255.8359900000005
1965,4340.02101
1966,4616.35834
1967,4941.1377
1968,5297.84569
1969,5715.81701
1970,5924.1948
1971,6336.47892
1972,6608.28973
1973,6513.13615
1974,6628.79566
1975,6696.94736
1976,6958.99812
1977,7265.1195
1978,7699.16837
1979,8263.00578
1980,8800.67826
1981,8942.61819
1982,9059.64986
1983,9107.78587
1984,9118.89264
1985,9209.50889
1986,9542.64297
1987,9837.25276
1988,10433.78141
1989,11006.99557
1990,8922.387224806178
1991,7232.581614401841
1992,5862.807283632534
1993,4752.453698769276
1994,3852.389319021218
1995,3122.787596889593
1996,2531.364711021764
1997,2051.9510537920364
1998,1663.333264
1999,1750.468968
2000,1871.08672
2001,1920.194664
2002,1938.69634
2003,1995.032284
2004,2096.4802560000003
2005,2190.49317
2006,2303.740208
2007,2410.81335
2008,2449.275104
2009,2343.223738
2010,2377.6106999999997
2011,2451.4001499999995
2012,2535.9394479999996
2013,2597.501466
2014,2701.060736
2015,2812.83151
2016,2870.2391039999998
2017,2981.3703919999994
2018,3111.902736
2019,3227.944302
2020,3247.4786400000007
2021,3491.227972
2022,3696.9286750000006
2023,3878.6182890000005
2024,4057.30593
