Year,total_product_tp,variable_capital_v,surplus_value_s,exploitation_rate_e,surplus_ratio_sy,productive_labor_share_lpl,marxian_profit_rate_r,productive_employment_lp
1929,150.9026527857078,,,,,,,
1930,133.01186427111625,,,,,,,
1931,111.69619344407506,,,,,,,
1932,85.90638221728929,,,,,,,
1933,82.48871626032312,,,,,,,
1934,96.41050925901222,,,,,,,
1935,107.14988948949589,,,,,,,
1936,122.43268713236536,,,,,,,
1937,134.22854180562743,,,,,,,
1938,126.07261683822207,,,,,,,
1939,134.8549214615917,,,,,,,
1940,148.5111525784895,,,,,,,
1941,186.6279422421199,,,,,,,
1942,239.51372503819752,,,,,,,
1943,293.1052674005574,,,,,,,
1944,323.9378678391843,,,,,,,
1945,329.07591294340716,,,,,,,
1946,328.3946889857686,,,,,,,
1947,360.2635580718202,,,,,,,
1948,446.21,1294.16236,1673.13603,1.7,0.5698,0.57,1.865,17331.95
1949,431.96,1488.86644,1930.38074,1.713,0.5674,0.565,1.783,18923.6
1950,481.62,1599.6856,2109.77521,1.726,0.5691,0.56,1.924,19851.89
1951,551.62,1862.80472,2530.99844,1.739,0.5712,0.555,2.012,21496.78
1952,573.95,1972.74317,2702.33027,1.752,0.5708,0.55,1.956,22084.52
1953,605.37,2116.58773,2956.86756,1.765,0.567,0.545,1.984,22734.47
1954,596.63,2240.89618,3175.84351,1.778,0.5678,0.54,1.882,23093.6
1955,652.91,2306.07748,3296.17155,1.791,0.5631,0.535,2.053,23421.29
1956,687.21,2460.52156,3585.52063,1.804,0.5707,0.53,1.987,24032.93
1957,717.3,2777.26247,4145.32363,1.817,0.5769,0.525,1.935,25684.62
1958,711.67,3040.59794,4611.54189,1.83,0.5751,0.52,1.834,27486.32
1959,774.29,3331.70769,5143.686360000001,1.86,0.571,0.519,1.958,29627.11
1960,795.67,3576.3957400000004,5621.6113,1.89,0.5796,0.518,1.912,30542.16
1961,811.42,3856.08869,6129.09932,1.92,0.5727,0.517,1.886,32158.34
1962,871.623167256305,3980.04051,6401.61038,1.95,0.5744,0.516,1.984,32403.43
1963,920.0131605861876,4158.69633,6787.85833,1.98,0.5823,0.514,2.032,32285.48
1964,987.8613348416691,4255.8359900000005,7045.30407,2.01,0.5788,0.513,2.0980000000000003,32609.14
