Year,labor_values
1947,0.00044173759806923063
1948,0.0007914712550843304
1949,0.00114120491209943
1950,0.0014909385691145298
1951,0.0018406722261296296
1952,0.0021904058831447295
1953,0.002540139540159829
1954,0.0028898731971749286
1955,0.0032396068541900285
1956,0.0035893405112051285
1957,0.003939074168220228
1958,0.0042888078252353275
1959,0.00350527013201609
1960,0.0027217324387968523
1961,0.0019381947455776143
1962,0.0011546570523583767
1963,0.000371119359139139
1964,0.03594601806681919
1965,0.07152091677449925
1966,0.10709581548217931
1967,0.14267071418985935
1968,0.17691675728544765
1969,0.21116280038103596
1970,0.24540884347662428
1971,0.2796548865722126
1972,0.31390092966780087
1973,0.28600086039176714
1974,0.25810079111573336
1975,0.23020072183969964
1976,0.20230065256366592
1977,0.17440058328763217
